ad tl nf br ry jn va bn ra jb
0 4.23311 6.89905 5.93087 9.31132 8.47705 5.31659 1.01045 6.5738 4.21839 
4.23311 0 7.04179 9.11218 7.64576 2.69828 0.569899 7.38721 3.34952 6.36312 
6.89905 7.04179 0 7.58846 9.91127 3.71685 2.54568 9.82725 7.25434 7.55822 
5.93087 9.11218 7.58846 0 6.55003 0.81959 6.35318 8.8586 2.79983 4.42047 
9.31132 7.64576 9.91127 6.55003 0 7.6883 4.82954 2.45397 2.82158 3.65672 
8.47705 2.69828 3.71685 0.81959 7.6883 0 1.74842 4.91652 8.9868 9.10116 
5.31659 0.569899 2.54568 6.35318 4.82954 1.74842 0 0.699587 9.05607 5.09478 
1.01045 7.38721 9.82725 8.8586 2.45397 4.91652 0.699587 0 5.21129 3.25843 
6.5738 3.34952 7.25434 2.79983 2.82158 8.9868 9.05607 5.21129 0 9.86776 
4.21839 6.36312 7.55822 4.42047 3.65672 9.10116 5.09478 3.25843 9.86776 0 
