adtl nfbr ryjn vabn rajb krpy wncr ksxt gbti qtzj gzst qbqx hltm ghje mxxb xnni zmgc ybnj hxnm ybtu vdar wqts zxgh jnpv kvhk nmhe doua nmyt oxqv efsd chak asyg eixq drkk mdpv pyod zkdo gmmy dfiq dqqu gmkf axld ykdx cebj gdul jlvy qfrx gwmn pvtm yqlv rszy whnn ckow lsws usta xnmb smrr fxwx odlz flin wlmu jfzd qqaa usik rrfv svcc tqff ckyy kgrh uukh faez gvdk peve zggc fqsu strq bpfi sdtn opis demw voti dnip nlgj klmk hcjg rrns syly ilnr kpzd rion vahq oxgz gvsl vaes slpt zsht eamc exut lapn bokf
0 3.91912 6.30593 6.62463 7.12227 5.43275 2.87486 8.17773 3.78191 6.89241 3.17067 0.19254 1.12759 5.2575 7.78121 2.28478 0.64726 0.799285 1.68671 7.26526 3.04052 0.600966 4.83026 4.6259 5.24789 4.52025 1.58808 2.93083 8.35345 6.98681 5.81998 6.84353 3.37863 0.669005 9.87014 5.46969 0.116408 8.57631 0.390619 3.83775 4.94755 5.80411 7.41569 6.82539 5.40904 0.452318 1.31282 9.73622 1.96393 3.57806 6.17984 6.11535 1.34673 5.57334 9.54488 3.63356 8.39721 9.7451 2.66424 2.59012 4.30092 8.14918 8.98935 2.5214 7.63011 6.97908 4.57333 2.70984 6.68848 1.25405 2.17467 1.22539 5.51505 0.160186 1.84215 6.03366 4.37589 0.916815 6.9054 3.81557 8.37844 1.32401 9.73613 0.393389 0.895495 4.99302 7.71743 9.3469 2.57654 3.66061 7.71423 5.04956 7.51759 6.75184 6.84849 7.59202 0.460039 2.38266 2.29451 5.66976 
3.91912 0 6.56096 6.20444 3.77751 2.32553 2.41355 6.56481 1.74268 7.46663 1.6816 0.571622 6.65374 1.33695 9.49666 4.89339 6.24835 9.14885 0.277651 5.9761 7.24653 5.01616 0.631574 4.47216 5.23983 7.74225 0.747027 4.48362 9.77408 4.73064 3.35766 4.51471 7.45841 2.13288 1.79666 3.78795 9.40328 9.65203 2.62408 0.796319 1.3261 5.31074 1.68482 5.2253 1.14133 8.4316 3.74876 4.29652 3.33955 7.16411 5.81008 8.73165 7.60663 8.38232 7.02793 3.9517 9.35889 6.09547 3.68463 5.4411 4.60522 4.07675 2.48036 0.922549 4.27363 4.77656 2.96869 1.13919 2.24222 8.03998 5.32165 6.72132 8.65006 2.51313 7.14449 2.71026 3.88993 0.901955 4.65165 2.40538 7.97399 4.9643 0.131965 2.73458 6.68042 4.30939 1.94956 9.63841 1.42699 7.97897 9.46584 1.79444 6.09941 0.731656 3.54017 2.99543 5.14562 8.27578 8.35995 7.29179 
6.30593 6.56096 0 3.3614 8.04064 6.35446 0.548873 0.510062 1.61782 7.69394 0.711141 5.2411 9.29858 2.2831 2.12517 0.981027 7.02694 7.09397 4.99685 2.69161 7.14456 3.84583 2.08638 2.40282 4.41735 4.74803 8.62576 9.77466 4.50074 0.439007 5.28534 0.413224 7.55642 5.95672 8.24662 3.36283 2.39757 5.41163 4.36312 4.09545 9.87451 9.67241 8.52025 8.68839 3.18489 1.56907 9.97623 6.43128 4.73394 9.32596 6.93865 8.17253 5.46119 5.77078 1.67624 9.45798 8.2312 1.6386 0.50664 3.50177 1.18919 1.05573 5.23586 0.32181 5.65869 8.58307 5.21739 6.77779 7.39803 7.01476 0.325716 2.00064 6.74281 3.52413 0.756274 1.49303 9.21906 2.2944 3.86313 5.90156 1.7564 0.360763 6.94215 7.6472 7.16558 0.865511 5.93911 9.26248 9.30401 4.36141 5.1091 8.32943 9.20044 6.05621 7.26598 5.24143 4.95909 1.69805 9.76354 5.78617 
6.62463 6.20444 3.3614 0 2.80519 5.36113 7.01573 6.70379 1.06458 5.53249 6.1463 6.71286 5.00174 5.75867 5.92999 4.469 1.59705 5.07252 7.3405 0.4134 0.611005 5.26843 3.27436 0.447089 2.52691 1.16109 3.89139 5.56311 6.01197 6.14999 9.35899 7.7431 5.18017 4.91814 6.53626 7.00026 4.13462 4.91981 4.84985 7.13346 5.38857 2.8388 6.09483 2.87303 7.06336 5.35185 9.38871 2.43049 4.19359 6.01501 7.85172 9.2105 6.84676 8.22966 5.32139 2.37967 1.52247 9.00526 2.58908 6.54999 0.147675 9.36577 2.82599 8.60178 2.86139 9.52907 5.11752 1.3172 4.22311 7.05447 4.42126 1.16661 7.68513 1.08867 4.46853 3.51131 3.04094 7.60045 3.45124 3.37451 0.650501 5.77451 4.90433 2.10457 1.2333 9.74604 8.65963 4.96922 3.73721 8.06863 1.70582 1.67984 0.671457 1.57759 4.7342 3.86802 8.84868 4.29892 4.18125 6.54782 
7.12227 3.77751 8.04064 2.80519 0 3.15244 0.69541 8.16272 8.9868 9.20297 9.02206 7.72346 1.79088 5.76717 0.410897 8.05235 5.26992 8.63006 2.84426 8.70799 5.90993 3.9528 8.13776 5.30413 9.40473 4.25838 5.84064 7.51654 8.81976 3.44704 1.97653 7.45695 7.2173 8.8037 0.821404 7.13012 8.80269 3.65786 0.989546 1.69419 4.22628 1.05464 6.77946 5.66985 8.14916 8.7941 7.71666 6.38853 8.97559 8.79629 4.91606 1.2194 3.8371 3.88793 6.90702 1.30522 0.860535 1.51869 4.82864 7.11502 2.45639 3.97057 9.76122 6.32479 6.84387 9.09604 3.68776 8.60621 7.96335 4.34585 0.827758 5.03644 4.89034 4.56227 5.04661 7.43351 9.33515 3.07121 1.54734 1.18918 0.895188 9.72752 4.14096 2.46026 9.63529 8.35139 2.06099 1.38187 2.04344 3.45728 5.79922 4.45865 5.89818 4.38548 3.74521 3.88494 6.04131 4.35178 1.573 6.73495 
5.43275 2.32553 6.35446 5.36113 3.15244 0 9.95447 7.01086 4.08712 8.50786 8.21332 7.95448 3.80507 0.195118 4.84981 6.42667 6.5003 6.48449 8.01044 3.8359 3.64095 3.95605 3.40964 6.96653 1.53448 2.9861 6.70188 8.55821 3.21552 1.52701 6.06227 0.155323 9.21621 3.88135 5.21366 3.51011 2.71492 2.9809 8.35312 1.33147 6.38273 0.582105 4.63465 3.83048 1.64314 7.58297 6.69313 0.214153 7.96932 5.65305 2.95768 4.21405 3.27405 5.19444 7.21964 8.43623 2.39576 4.70357 3.79626 0.595426 0.831118 2.10425 5.70521 8.33209 4.28327 8.41153 3.00113 1.89384 3.6395 9.34769 5.93525 3.7535 4.68428 6.31552 9.45008 4.11728 0.599768 4.50402 5.99968 7.50828 8.6553 1.39713 1.13534 6.68655 8.35044 5.85472 6.62008 9.82212 0.287269 9.22258 2.02732 9.68046 5.27842 2.86008 7.22597 5.94554 8.38711 8.36345 6.63289 7.33144 
2.87486 2.41355 0.548873 7.01573 0.69541 9.95447 0 6.46596 3.56034 5.39527 6.67506 3.30195 8.70496 4.47947 9.18788 2.83901 9.52236 1.26065 4.21847 8.38012 9.6291 3.39599 5.3092 5.40597 8.19926 9.30591 6.66264 2.50796 9.42015 6.00756 1.34773 2.54504 8.87858 2.04216 1.71328 8.37637 6.06381 6.2701 8.40292 6.74932 3.9764 8.72571 6.70674 1.24451 0.100398 6.79305 6.32466 4.60002 5.78602 0.419467 3.57879 8.56532 3.77129 6.64811 5.80666 0.693602 7.47024 2.86698 4.48197 1.84656 1.00883 8.98272 9.92495 5.98218 0.426735 6.94022 4.9234 5.73646 8.96767 4.40158 6.91708 2.11127 4.86903 2.79718 9.47649 2.51857 9.5373 4.82182 1.35817 9.61822 8.58584 2.25236 0.169379 7.8465 0.598894 9.60454 6.4496 5.77666 1.45722 1.37753 8.2638 5.06835 6.59329 5.10008 5.3119 1.27213 9.04026 6.72215 2.8481 3.9284 
8.17773 6.56481 0.510062 6.70379 8.16272 7.01086 6.46596 0 3.97579 8.32786 2.50571 1.3221 7.31023 6.51594 2.09205 8.50208 0.323308 1.14507 1.96099 3.67358 7.81862 7.22012 6.697 5.8516 3.57661 1.65583 2.9917 1.77418 2.3146 6.74638 4.10717 8.87645 5.83569 3.48429 4.42868 7.02643 8.3594 7.94063 8.50577 2.89397 2.72015 1.78261 5.38197 0.824519 9.98748 7.52669 1.30999 1.72954 4.30856 7.7547 2.21432 4.39589 0.427465 9.30028 1.14983 2.73624 4.87228 7.94852 2.64949 2.21777 2.8964 3.86821 2.16042 9.29242 7.66423 6.20397 5.80094 3.62771 9.08769 2.05922 1.22966 7.93229 7.01181 0.280687 7.50489 1.23384 8.96014 6.58082 3.52432 3.88589 2.22899 3.37979 0.276073 9.15224 7.87615 3.99516 7.32684 8.33236 8.79019 1.38313 3.49991 9.42649 3.6857 3.5854 0.898486 5.76172 7.78629 8.45759 4.98362 8.19144 
3.78191 1.74268 1.61782 1.06458 8.9868 4.08712 3.56034 3.97579 0 6.46307 4.41021 3.58791 3.55665 2.88729 9.19927 6.29891 7.47134 1.65965 7.78653 2.59436 6.15937 8.56057 3.21461 6.1236 1.34663 3.79925 1.4196 2.69244 1.34771 2.10789 7.5302 0.802406 4.64325 9.63611 2.42329 2.05543 6.87107 0.905132 8.55694 1.61037 1.28975 8.11033 9.44751 0.550651 0.696598 8.31425 1.49768 8.03156 2.35214 4.05222 6.03202 6.58654 0.631895 9.865 8.14182 4.19444 0.4152 1.16968 9.74722 8.68448 6.74369 8.36025 2.45835 7.19769 5.93811 2.30314 2.35485 0.115579 4.53336 4.15668 9.33675 0.322371 5.18364 3.82736 8.60915 7.95933 6.13373 3.38486 6.27765 6.57334 6.47946 2.66529 0.357403 9.87171 2.15672 6.45902 5.64721 3.83164 1.29484 4.54616 1.46338 5.89942 5.47174 4.88765 8.87734 0.907788 3.68967 1.09801 3.06219 8.43251 
6.89241 7.46663 7.69394 5.53249 9.20297 8.50786 5.39527 8.32786 6.46307 0 9.13872 8.29648 9.70596 8.15147 7.99894 8.41398 4.54233 6.45674 6.96987 8.17602 4.73527 2.01697 4.07539 9.31345 4.72537 3.8466 5.2242 2.35479 9.00275 9.85989 1.45624 4.63896 6.92243 2.86225 4.15185 7.42532 0.409425 3.10893 2.0072 8.15058 2.8212 7.20583 4.1454 7.87222 7.2507 5.81289 6.36609 8.0061 0.102726 6.31517 3.52967 4.77138 4.97285 5.34323 3.25364 8.59345 1.46622 4.05151 3.93044 8.47972 0.655734 4.6231 7.67876 2.9957 9.62301 10 9.99101 7.442 3.56285 7.98619 2.0701 6.04727 5.47396 2.59176 2.09601 5.79868 5.18621 7.50224 6.1194 9.89739 8.00466 5.5923 1.55205 1.1594 5.28547 2.53837 5.75911 3.41022 6.81922 0.786729 8.46194 8.77499 3.38752 1.53946 7.46634 6.65272 4.08756 5.89177 5.59898 4.99175 
